Company Name,Founded,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership,hourly,employer_provided,min_salary,max_salary,avg_salary,company_text,job_state,age,python_yn,R_yn,spark,aws,excel,job_simp,seniority,desc_len
"Intelligent Automation
3.6",1987,"Health, Beauty, & Fitness","IAI is looking for a talented research scientist to contribute to research and development efforts in machine learning, graph theory, and scientific software development. The candidate will incorporate novel ideas and improve the state of the art on advanced projects related to processing of large networks, analyzing data in high dimensions and implementing high performance computing software. Additionally, the candidate will develop a portfolio of related research by extending existing work and proposing new methods with novel application domains.

You are highly encouraged to apply if you enjoy working with data and algorithms, passionate about understanding how things work, want to solve complex problems and strive to stay current on the technology and literature in areas of high performance computing, network analysis and machine learning.

JOB DUTIES

Design and develop scalable machine learning and network analytic algorithms
Evaluate performance of a variety of machine learning and network analytic algorithms
Debug and solve problems in complex environments
Explore use of novel methods for compression, dimensionality reduction and summarization
Communicate findings effectively in the form of briefings and technical reports
Formulate research ideas/hypotheses to solve new problems

DESIRED SKILLS

Algorithm development experience in Python, C/C++ and/or Java
Development of machine learning and/or graph-based algorithms (e.g., scikit-learn, networkx, mlpack, weka)
Familiar with high performance and big data computing technology (e.g., MPI, OpenMP, OpenACC, CUDA, opencl, mapreduce, hadoop, spark, BSP)
Exposure to graph traversal languages and graph databases (e.g., Apache Tinkerpop, neo4j, JanusGraph)
Familiar with word embedding methods (e.g., word2vec, GloVe, doc2vec)
Comfortable working on linux systems

EDUCATION

A Masters degree or Ph.D. in Computer Science, Engineering, Mathematics, Physics or related field is required.

About IAI

IAI is a technology innovation company specializing in providing advanced technology solutions and R&D services to federal agencies and corporations. IAI leverages agile R&D processes, a multi-disciplinary collaborative environment, and its substantial intellectual property portfolio to excel in developing concepts into market-focused products and customer-driven solutions. IAI’s core R&D areas include: AI & Advanced Computing; Autonomy & Robotics; Healthcare Research Technologies; Modeling, Simulation & Visualization; and Networks & Cyber Security; and Radar, Communications & Sensors. For more information about IAI please visit www.i-a-i.com.

US Citizenship or Permanent Residency required

All qualified applicants will receive consideration for employment without regard to race,

color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status.

Requisition ID:",Research Data Scientist,"Rockville, MD",3.6,$25 to $50 million (USD),$72K-$120K (Glassdoor est.),Consumer Services,51 to 200 Employees,Company - Private,0,0,72,120,96.0,"Intelligent Automation", MD,33,1,0,1,0,1,data scientist,na,2929
"OSF Healthcare
3.8",1877,Health Care Services & Hospitals,"Description

Performs various routine and complex clinical laboratory tests according to established policies and procedures in order to obtain data for use in the diagnosis and treatment of disease. Assess test results for accuracy. Performs routine scheduled preventative maintenance, calibration, and minor problem troubleshooting on laboratory instruments. May perform blood specimen collection, training personnel and students. Independent judgment and professional education and certification are required.

Qualifications

REQUIRED QUALIFICATIONS:

A bachelor’s degree in Clinical/Medical Laboratory Science.

Successful completion of the ASCP or AMT Board of Certification CLS exam within the first year of employment is also required.

Alternative bachelor’s degrees are acceptable with successful completion of ASCP or AMT CLS certification exam prior to employment.

Maintains current certification according to guidelines established by appropriate certifying agency.

Interpersonal skills sufficient to interact effectively and communicate with patients and other health care professionals.

http://www.osfcareers.orgHigh level of professionalism and skillful performance in stressful situations.

Must possess sufficient academic, technical, and clinical skills and knowledge to evaluate, troubleshoot, research, and resolve day-to-day problems that arise or special projects as assigned by the laboratory management.

PREFERRED QUALIFICATIONS:

Experience not required but 1-2 years preferred.

EOE/Minorities/Females/Vet/Disabled

Job seekers will be afforded equal opportunity regardless of their race, ethnicity, veteran status or disability status.

Experience the OSF culture and community by clicking here.",Clinical Lab Scientist/MT,"Evergreen Park, IL",3.8,$2 to $5 billion (USD),$21-$34 Per Hour(Glassdoor est.),Health Care,10000+ Employees,Nonprofit Organization,1,0,42,68,27.5,"OSF Healthcare", IL,143,0,0,0,0,0,na,na,1757
"OSF Healthcare
3.8",1877,Health Care Services & Hospitals,"Description

Performs various routine and complex clinical laboratory tests according to established policies and procedures in order to obtain data for use in the diagnosis and treatment of disease. Assess test results for accuracy. Performs routine scheduled preventative maintenance, calibration, and minor problem troubleshooting on laboratory instruments. May perform blood specimen collection, training personnel and students. Independent judgment and professional education and certification are required.

Qualifications

REQUIRED QUALIFICATIONS:

A bachelor’s degree in Clinical/Medical Laboratory Science.

Successful completion of the ASCP or AMT Board of Certification CLS exam within the first year of employment is also required.

Alternative bachelor’s degrees are acceptable with successful completion of ASCP or AMT CLS certification exam prior to employment.

Maintains current certification according to guidelines established by appropriate certifying agency.

Interpersonal skills sufficient to interact effectively and communicate with patients and other health care professionals.

http://www.osfcareers.orgHigh level of professionalism and skillful performance in stressful situations.

Must possess sufficient academic, technical, and clinical skills and knowledge to evaluate, troubleshoot, research, and resolve day-to-day problems that arise or special projects as assigned by the laboratory management.

PREFERRED QUALIFICATIONS:

Experience not required but 1-2 years preferred.

EOE/Minorities/Females/Vet/Disabled

Job seekers will be afforded equal opportunity regardless of their race, ethnicity, veteran status or disability status.

Experience the OSF culture and community by clicking here.",Clinical Lab Scientist/MT or MLT,"Pontiac, IL",3.8,$2 to $5 billion (USD),$20-$32 Per Hour(Glassdoor est.),Health Care,10000+ Employees,Nonprofit Organization,1,0,40,64,26.0,"OSF Healthcare", IL,143,0,0,0,0,0,na,na,1757
"Children's Hospital & Medical Center
3.6",1948,Health Care Services & Hospitals,"We’re searching for a Medical Laboratory Scientist, performs patient laboratory testing, instrument calibration, maintenance troubleshooting, quality control testing, and equipment function verification in the areas of Hematology, Microscopy, Coagulation, Chemistry, Microbiology, Virology and Serology. Reports and interprets laboratory test results. Advises and consults with the Medical Staff, nursing staff, and laboratory staff.

ESSENTIAL FUNCTIONS

Performs laboratory tests on patient specimens in the areas of Hematology, Chemistry, Microscopy, Coagulation, Microbiology, Virology and Serology to assist in identifying medical disorders and to monitor ongoing patient therapy.
Utilizes LIS for reporting patient results, documenting quality control and distribution of data.
Checks instrument calibration and reagent reactivity by assaying quality control specimens to assure accurate patient test results.
Evaluates results of patient testing, quality control and survey testing, takes appropriate action to prevent compromises in patient care.
Participates throughout the calendar year in proficiency testing.
Performs troubleshooting, function checks and maintenance procedures to keep equipment and instruments in proper working order.
Maintains adequate inventory levels and stocking of supplies and reagents.
Supports new staff in training as necessary.
Prepares specimens to be sent to referral laboratories and reports test results as they are returned.
Consults with physicians, nurses and other healthcare professionals concerning requested services and test results.
Performs the duties of Charge Technologist as stated in the Policies and Procedures Manual when assigned.

KNOWLEDGE, SKILLS AND ABILITIES

Ability to communicate effectively both verbally and in writing.

EDUCATION AND EXPERIENCE

Bachelor’s degree from an accredited college or university in Medical Laboratory Science or related science, which includes a one-year internship in an approved clinical laboratory required.

CERTIFICATIONS/LICENSURE REQUIREMENTS

Current and valid Medical Laboratory Scientist (MLS) or equivalent certification with the American Society of Clinical Pathology or other equivalent certifying agency required, within 6 months of hire.

EOE/Vets/Disabled

ref 9809

We’re searching for a Medial Lab Technician, under the direction of a Medical Laboratory Scientist, Laboratory Supervisor or Charge Tech performs patient laboratory testing, instrument calibration, maintenance troubleshooting, quality control testing, and equipment function verification in the areas of Hematology, Microscopy, Coagulation, Chemistry, Microbiology, Virology and Serology. Reports and interprets laboratory test results. Advises and consults with the Medical Staff, nursing staff, and laboratory staff.

Essential Functions

· Under direction of a Medical Technologist, Laboratory Supervisor or Charge Tech, performs laboratory tests on patient specimens in the areas of Hematology, Chemistry, Microscopy, Coagulation, Microbiology, Virology and Serology to assist in identifying medical disorders and to monitor ongoing patient therapy.

· Utilizes LIS for reporting patient results, documenting quality control and distribution of data.

· Following the guidance of a Medical Technologist, Laboratory Supervisor or Charge Tech, checks instrument calibration and reagent reactivity by assaying quality control specimens to assure accurate patient test results.

· With oversight of a Medical Technologist, Laboratory Supervisor or Charge Tech, evaluates results of patient testing, quality control and survey testing, takes appropriate action to prevent compromises in patient care.

· Participates throughout the calendar year in proficiency testing.

· Performs troubleshooting, function checks and maintenance procedures to keep equipment and instruments in proper working order

· Maintains adequate inventory levels and stocking of supplies and reagents.

· Supports new staff in training as necessary.

· Obtains blood specimens from patients using standardized capillary or venipuncture procedures as ordered by the physician.

· Consults with physicians, nurses and other healthcare professionals concerning requested services and test results.

Performs other duties as assigned
KNOWLEDGE, SKILLS AND ABILITIES
Ability to communicate effectively both verbally and in writing.

EDUCATION AND EXPERIENCE
Associate’s degree from an accredited college or university in Medical Laboratory or related science required.

CERTIFICATIONS/LICENSURE REQUIREMENTS

Current and valid Medical Laboratory Technician certification with the American Society of Clinical Pathology or other equivalent certifying agency required, within 6 months of hire.

EOE/Vets/Disabled
About Children's Hospital

When you work at Children’s, you’re part of a treasured place of healing in the Omaha community—and beyond. Join our team of highly engaged, caring professionals who believe deeply in the organization’s mission—to improve the life of every child. We support equity, diversity and inclusion, and as you apply your skills and expertise to helping children, you too will have opportunities to grow your career. In 2021, we’ll open the new Hubbard Center for Children, tripling our capacity to serve children.

When children are your everything, anything can be…",Medical Laboratory Scientist or Medical Lab Tech / Lab Core,"Omaha, NE",3.6,Unknown / Non-Applicable,$13-$27 Per Hour(Glassdoor est.),Health Care,1001 to 5000 Employees,Nonprofit Organization,1,0,26,54,20.0,"Children's Hospital & Medical Center", NE,72,0,0,0,0,0,na,na,5420
"ChristianaCare
3.6",1970,Health Care Services & Hospitals,"The Gene Editing Institute is the only research institute of its kind in the nation based within a community health care system. Led by gene editing pioneer, Eric Kmiec, Ph.D., and based in ChristianaCare's Helen F. Graham Cancer Center & Research Institute, the Gene Editing Institute is a worldwide leader in gene editing biomedical research in cancer and other inherited diseases, and the only one working in the same space with oncologists, genetic counselors and patients, bringing translational research from basic science to patient treatment to an entirely new level.

ChristianaCare is currently seeking a Sr. Research Scientist I for the Gene Program at our Helen F Graham Cancer Center. The Sr. Research Scientist I will lead preclinical non-small cell lung cancer (NSCLC) research projects in the Oncology group and in collaboration with other teams within the Gene Editing Institute. The Oncology group in the Gene Editing Institute focuses on the development of new, targeted delivery system utilizing AAV-CRISPR/Cas to treat NSCLC in combination with chemotherapy. As a group leader, the Senior Research scientist will expand current preclinical research built on the proof-of-concept studies to successfully file INDs with FDA. The ideal candidate will have advanced and hands on expertise in CRISPR gene therapy and extensive industrial experience in leading a team of scientists to bring about tangible outcomes in timely delivery of therapeutic products.

Other responsibilities include:
Lead preclinical research in NSCLC gene therapeutic drug development
Develop and implement proof-of-concept and preclinical research in other solid tumor gene therapy
Hands on laboratory research in cancer biology, CRISPR technology, AAV biology and other delivery system
Manage the overall progress of the preclinical programs to be aligned with set timelines
Identify and manage Contract Research Organizations for timely execution of projects.
Work with cross-functional team to support the IND submissions
Take Lead role in writing or contracting out nonclinical reports to include in Module 4 of the IND
Support pIND and other meetings with the FDA
Requirements: PhD in oncology, molecular biology, cell biology, biochemistry, or a closely related field. Six to ten years of pharmaceutical industry experience in gene therapeutic development, preclinical and clinical researches. Must be proficient in CRISPR gene therapeutic development, AAV delivery (and/or nonviral vector delivery systems), CRISPR technology and its clinical application, cell-based models and in utilization of murine models, and performing cell biology, biochemistry, and molecular biology techniques.

Job Type: Full-time

Benefits:
Dental insurance
Health insurance
Paid time off
Schedule:
8 hour shift
Education:
Doctorate (Preferred)
Experience:
gene therapeutic development: 6 years (Preferred)
Work Remotely:
No",Sr Research Scientist - Gene Program - Helen F Graham Cancer Center,"Newark, DE",3.6,$500 million to $1 billion (USD),$67K-$142K (Glassdoor est.),Health Care,10000+ Employees,Nonprofit Organization,0,0,67,142,104.5,"ChristianaCare", DE,50,0,0,0,0,0,na,senior,2930
"Novozymes
3.8",2000,Biotech & Pharmaceuticals,"Pioneer a brighter future
At Novozymes, we work in close partnership with our customers and the global community to make a sustainable impact. We use science to advance industries, and as part of Agriculture & Bioenergy, you will work across the agricultural value chain to provide biological solutions that help feed and fuel a growing world.

Technical Service Field Scientist – Biofuels North America
The US ethanol industry is an exciting and dynamic place to work and we are looking for motivated individuals to implement our market-leading products and services.

We are looking for an experienced and personable candidate to join our Biofuels Technical Service team. In this role, you will work with our customers at ethanol plants across the US to learn their processes, understand their challenges, and deliver products and services from Novozymes’ wide portfolio. This will require strong collaboration both with the ethanol producers and the Novozymes Biofuels team.

To be successful in this role, you should be a strong logical thinker with the ability to solve complex technical problems and communicate in an understandable and convincing manner. In addition, you should have a business understanding of how the science will impact economic factors for Novozymes and our customers. In this dynamic and evolving industry, you will need to be able to adapt to exciting and ever-changing information and technology.

Location
The position will ideally be based out of a home office in Kansas City, MO or the surrounding states including Missouri, Illinois, Iowa, and Nebraska.

In this position you need to have:
A minimum of 4 years of relevant experience in the Ethanol industry or Agricultural industry.
A minimum of a BS degree in a scientific field such as Engineering, Chemistry, Biology, Microbiology, Biochemistry.
A solid science background, including engineering, data analysis and fermentation.
Both process experience in the ethanol or corn milling industry and experience working in a technical service or technical sales role (would be ideal).
Ability to travel approximately 50%.

Note: The job level can potentially be adjusted to accommodate applicants with significantly more experience

Are you the next Zymer in our team? Consider a career with Novozymes and let’s realize your potential together.

Novozymes is the world leader in biological solutions. Together with customers, partners and the global community, we improve industrial performance while preserving the planet’s resources and helping build better lives. As the world’s largest provider of enzyme and microbial technologies, our bioinnovation enables higher agricultural yields, low-temperature washing, energy-efficient production, renewable fuel and many other benefits that we rely on today and in the future. We call it Rethink Tomorrow. www.novozymes.com

Novozymes is committed to creating a diverse environment and is proud to be an equal opportunity and affirmative action employer. All employment decisions are based on business needs without regard to race, color, ethnicity, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, age, disability or veteran status.

Application deadline: October 30, 2020",Technical Service Field Scientist – Biofuels North America,"Ames, IA",3.8,$10+ billion (USD),$58K-$101K (Glassdoor est.),Biotech & Pharmaceuticals,5001 to 10000 Employees,Company - Public,0,0,58,101,79.5,"Novozymes", IA,20,0,0,0,0,0,na,na,3281
"Network180
3.7",-1,Health Care Services & Hospitals,"We are seeking a full-time Data Analyst. The Data Analyst works on a diverse range of projects related to the clinical outcomes and financial management of behavioral health, as well as assisting with the management of an electronic medical record system.

This position will work closely with the Data Analysis Manager to develop dashboards and reports for both internal staff members and outside agencies. The position will be housed in our administrative offices at 3310 Eagle Park Drive, Grand Rapids, MI, 49525, though the position will be remote at through at least 12/31/2020.

Minimum Qualifications Include:
Bachelor’s degree in Public Health, Business Administration, Computer Science, Information Systems Statistics, Healthcare Administration, Mathematics, Economics, Information Management, Finance, Accounting, or related field
Excellent skills and experience in analyzing data, problem solving, report writing and formatting, extracting data from various sources, inspecting, and cleaning data to discover useful information.
Ability to prepare analytical reports and maintain detailed records
Advanced computer skills, including word processing, spreadsheets, database management, Microsoft Office experience
Ability to analyze, interpret, and detect discrepancies in financial and non-financial data and records
Good mathematical and statistical skill and knowledge
Ability to interpret a variety of instructions in written, oral, diagram or schedule form
Excellent communication skills, both verbal and written
Good problem-solving techniques
Ability to prioritize tasks and manage time in an effective and efficient manner
Ability to work effectively in a multicultural environment and skills and capabilities of bridging language/cultural barriers to Network180 services within diverse communities preferred
Ability to adhere to Network180 policies resulting from HIPAA privacy rules regarding individually identifiable health information concerning individuals served or employed by Network180
Working knowledge of SQL
Network180 is an Equal Opportunity Employer. Network180 participates in E-Verify.",Data Analyst,"Grand Rapids, MI",3.7,Unknown / Non-Applicable,$40K-$71K (Glassdoor est.),Health Care,51 to 200 Employees,Government,0,0,40,71,55.5,"Network180", MI,-1,0,0,0,0,1,analyst,na,2138
"Valassis
3.4",1970,Advertising & Marketing,"Data Scientist – Machine Learning & Real-Time Decision Processing (Remote, US)

Valassis is a leader in online advertising technology. We process over 12 trillion calculations daily to analyze and decide on more than 110 billion digital ad requests. As a Data Scientist at Valassis your work is central to keeping us at the forefront of the AdTech industry.

We are seeking data experts who are passionate about using cutting edge technology and data science methods to solve unique and complex problems. The ideal candidate is innately curious about how data can be used to tell a story and inform decisions. You have honed your skills through a combination of education, work experience, and hobbies. You are excited about the complexity and challenges of creating intelligent, high performance systems while working with a highly experienced and driven data science team.

If this describes you, we are interested. You can be an integral part of a cross-disciplinary team working on highly visible projects that improve performance and grow the intelligence in our product suite. Our day to day work is performed in a progressive, high-tech workspace where we focus on a friendly, collaborative and fulfilling environment.

On any given day you’ll be…
Using geo location data to track foot traffic, commercial visitation and next most likely visit to understand consumer physical behavior.
Using online behavior data to determine the primary interest categories of consumers and the web properties they visit.
Implementing a predictive model to determine whether a person is likely to visit a car dealership based on the advertising signals they’ve received.
Monitoring & improving a system that deploys and refits 10’s of thousands of models daily.
Developing algorithms to optimize the setting of every lever in a high throughput real-time decision system.
Analyzing data to better understand how a neighborhood’s consumption of web pages correlates with visits to a local big box store.
Finding the handful of outliers in billions of transactions.
Deriving a set of new features that will help better understand the interplay between geography and audience features to improve model performance.
Building new products with applied AI and bring them to market.
Participating in planning, roadmap, and architecture discussions to help evolve our AI processes to improve revenue-generating products.
Our ideal candidate will likely have…
The professional experience and desire to perform responsibilities similar to those listed above
An advanced degree in a relevant, quantitative field or equivalent experience working with Big Data and Spark in a professional setting
Ability to grow and ultimately mentor team members of varying experience levels and competencies through data science, product and software development life cycles
WHO WE ARE
Valassis is a leading digital marketing intelligence company, providing a best-in-class data management platform and online and offline targeting capabilities that fuel superior display advertising and media offerings. Through proprietary technology and the Valassis Digital Consumer Graph™, we power the lifecycle of marketing campaigns – from planning to activation and measurement. In fact, 19 of 20 leading brands work with Valassis to drive better campaign performance.

WHAT'S IN IT FOR YOU?
Valassis has a generous total rewards benefits package that includes medical, dental and vision coverage, 401k and PTO allowance. A wide variety of additional benefits like life insurance, employee assistance and pet insurance are also available; not to mention smart and friendly coworkers!

Valassis is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law. Applicants who have disabilities may request that accommodations be made in order to complete the selection process.

EEO is the law. To review your rights under Equal Employment Opportunity please visit: www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf.

#LI-JM1",Staff Data Scientist I,"Morrisville, NC",3.4,Unknown / Non-Applicable,$127K-$203K (Glassdoor est.),Business Services,1001 to 5000 Employees,Company - Private,0,0,127,203,165.0,"Valassis", NC,50,0,0,1,0,0,data scientist,na,4246
"Lundbeck
3.5",1915,Biotech & Pharmaceuticals,"At Lundbeck, we are tirelessly dedicated to restoring brain health so every person can be their best. Headquartered in Copenhagen with sites worldwide including in La Jolla, California, Lundbeck is the only global biopharmaceutical company focused solely on brain diseases. Our legacy in neuroscience goes back seven decades and we have a long heritage of innovation. Lundbeck has developed and commercialized some of the world’s most widely prescribed therapies for psychiatric and neurological disorders. Today, we remain uncompromisingly committed to improving the quality of life for people impacted by brain disorders. Lundbeck is unique from other biopharmaceutical companies in that we are 70 percent owned by a research-focused foundation. We have a deep and productive pipeline, and we continue to bring forward symptomatic therapies to help people live better lives, while simultaneously pursuing disease-modifying treatments. SUMMARY Lundbeck La Jolla Research Center, Inc. (LLJRC) is a discovery research arm of H. Lundbeck A/S. Our mission is to develop innovative medicines that address significant unmet needs in the treatment of psychiatric and neurological disorders. LLJRC is seeking a highly motivated scientist to support preclinical stage programs in the portfolio through advancing our mass spectrometry-based proteomics capabilities. The successful candidate will join a multi-disciplinary team within the chemical biology group and lead efforts to expand our state-of-the-art proteomic platform using advanced quantitative proteomic techniques. The La Jolla-based chemical biology group provides core proteomics expertise to global Lundbeck and collaborates with leading academic labs, including the Cravatt lab at Scripps Research, and, as such, the group has the opportunity to explore the application of proteomics to a wide variety of CNS drug discovery programs and basic neuroscience research. ESSENTIAL FUNCTIONS You will be a key contributor to multi-disciplinary project teams supporting early discovery programs through establishing MS-based assays to enable the discovery and development of high-quality small molecule therapeutics. A majority of your work will be lab-based, focused on the exploration, development and implementation of innovative MS techniques to characterize small molecule-protein interactions in living systems and to address other novel scientific questions. The job will entail establishing robust sample preparation protocols and developing targeted and untargeted MS acquisition methods suited for quantitative analysis of peptide analytes within complex peptide mixtures derived from biological matrices. We offer the opportunity to join a dynamic and energetic team of qualified colleagues working in a leading CNS specialized drug discovery organization. The group is well-supported with multiple Orbitrap mass spectrometers, including an Orbitrap Fusion Lumos, and a high-performance cluster for data analysis. A dedicated computational biologist will support proteomics data analysis, curation and management through automated pipelines and through maintenance of a proprietary chemoproteomic database facilitating tracking and mining of all internal proteomics data. The group is actively engaged in both drug discovery and basic research at the frontiers of neuroscience and you will have the opportunity to collaborate and publish with world-class academic labs as highlighted in Cell reports, 31(12), 107805. REQUIRED EDUCATION, EXPERIENCE and SKILLS Ph.D. OR an accredited Master’s degree with 9+ years’ experience in mass spectrometry-based proteomics, chemical biology, biochemistry, analytical chemistry, or a related life sciences field OR an accredited bachelor’s degree with 12+ years’ experience in mass spectrometry-based proteomics, chemical biology, biochemistry, analytical chemistry, or a related life sciences field Demonstrated broad knowledge of principles of mass spectrometry-based protein identification and quantification Extensive hands-on experience with sample preparation (e.g. immuno- or chemical-affinity enrichment, protein- and peptide-level fractionation, stable isotope labeling, etc.) from a variety of biological matrices (tissues, cells and biofluids) Experience with multiple MS acquisition methods (e.g. DDA, DIA, PRM) and quantitation strategies (e.g. isobaric tagging, isotopic labeling, label-free) Familiarity with MS-based proteomics data processing tools Hands-on experience in operation of Orbitrap mass spectrometers and nanoLC systems Excellent skills in experimental design, implementation, troubleshooting, and data analysis Excellent collaboration, communication, and presentation skills Both effective team player and strong individual contributor, flexible, and able to handle multiple tasks and deliver high quality results under tight timelines PREFERRED EDUCATION, EXPERIENCE and SKILLS Experience with MS-based PTM analysis techniques Basic programing skills relevant to proteomics data analysis (e.g. Python, R, Perl) is desirable but not necessary Experience developing and performing biochemical and cellular assays also desirable, especially models relevant to CNS biology Lundbeck is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, religion, sex, sexual orientation, gender identity, age, national origin, disability, protected veteran status, and any other characteristic protected by law, rule, or regulation. Lundbeck participates in E-Verify.",Scientist,"San Diego, CA",3.5,$2 to $5 billion (USD),$75K-$157K (Glassdoor est.),Biotech & Pharmaceuticals,5001 to 10000 Employees,Company - Public,0,0,75,157,116.0,"Lundbeck", CA,105,1,0,0,0,1,na,na,5584
"Rational
2.7",2009,Consulting,"Rational is growing, and we need amazing talent to join our team. If you have an entrepreneurial attitude with a deep spirit of service and killer subject expertise, we want to talk to you. We are always looking for the next great consultant to raise the bar and push Rational to be better than we were yesterday. Staying hungry, curious, and looking forward to what’s next is part of our DNA.

This Data Analyst will be part of Rational's Technology & Data Practice and supporting one of our large biotech projects. This individual will provide strategic and tactical consultation, leadership in delivering solutions, and oversight of processes and systems.  The position requires solid technical foundation, domain knowledge, as well as strong verbal and written communication skills with a proven ability to clearly communicate technical information to a non-technical audience.

This is a full time position within Rational's Technology Practice. This position is not available for Visa sponsorship or C2C work.

What you will do:
Serve as the Business Analyst subject matter expert supporting, but not limited to Commercial portfolio
Network with a new and evolving IT environment, business team, and vendors to foster strong relationships and build partnerships
Understand strategy and how it translates to executable programs, projects, and efforts that align with strategic goals while taking the environmental constraints and opportunities into account
Collaborate with cross-functional professionals to deliver high-quality and innovative solutions that meet the business needs and create new opportunities
Provide analytic support of various levels of complexity including large, multi-year, cross-functional efforts with internal and external influencing factors
Negotiate conflicts and complex issues to an expeditious and satisfactory resolution
What you will bring:
3+ years of exposure to the orchestrating technology solutions for technical and/or Biotechnology or Pharmaceutical organizations
3+ years of experience in the Business Analysis or equivalent role with solution delivery and process improvement supporting cross-functional implementation of IT solutions in the Biotechnology or Pharmaceutical industry
3+ years of experience in organization financials, financial reporting
Familiarity with applications used in the business area such as Salesforce and Veeva
Working experience in SQL Server and Snowflake (preferred, but not required)
Proven knowledge of IT solutions and application management through various product cycles and evolving work environments
Demonstrated technical understanding of application architecture to include application servers, web servers, configuration files, relational databases, and reporting applications
Ability to proactively plan, organize, deliver with limited oversight, prioritize, and quickly adapt to changing situations
Excellent communication skills, including the ability to interface and influence internal and external partners at multiple organization levels
Strong interpersonal and negotiation skills, with a high degree of self-motivation and ability to work independently
Proficient in essential tools such as Power BI, Smartsheets, PowerPoint, Visio, etc.
Who you are:
Data Lover. You know your numbers and value the metrics behind the buyer story.
Collaborative to the Core. Demonstrated ability to work in a team environment, as a leader and member.
Well-rounded Professional. You have amazing communication and organizational skills along with high EQ.
Proactive. You are always thinking ahead about what is best for the Client.
Adaptable. Change happens at lightning speed; you are flexible, enjoy challenge, and get behind new ideas
Rational is a customer experience (CX) solutions firm that pairs the capabilities of a strategic consultancy with the creativity of a full-service digital agency. We design and activate compelling experiences that create strong connections between people and brands. We put humans at the center of business and partner with our clients to deliver meaningful experiences that help their customers while driving business success. Customer satisfaction at every level is our ultimate metric, and it's what drives our mindset, skillset, and company culture.

Incredible people are our non-negotiable. Our experienced team of consultants spans the globe. We love what we do, and who we do it with – let’s begin our next chapter together.

Rational is committed to ensuring all candidates have an equal opportunity to be considered for employment. Please let us know if you need any reasonable accommodation to participate in the job application or interview process.",Data Analyst,"Redmond, WA",2.7,Unknown / Non-Applicable,$50K-$88K (Glassdoor est.),Business Services,201 to 500 Employees,Company - Public,0,0,50,88,69.0,"Rational", WA,11,0,0,0,0,1,analyst,na,4715
